Tamaño Ejemplar    Tiempo Real     Tiempos Estimados
3820                      12.366                      13.3605
3830                      12.6732                      13.3635
3840                      12.9346                      13.3665
3850                      12.5869                      13.3695
3860                      12.5174                      13.3725
3870                      12.9035                      13.3755
3880                      12.9807                      13.3785
3890                      12.3961                      13.3815
3900                      12.4792                      13.3845
3910                      12.6958                      13.3875
3920                      12.9392                      13.3904
3930                      12.7878                      13.3934
3940                      12.5576                      13.3964
3950                      13.7115                      13.3993
3960                      13.1423                      13.4023
3970                      14.4285                      13.4052
3980                      18.8857                      13.4082
3990                      17.7771                      13.4111
4000                      13.7554                      13.414
4010                      12.5511                      13.417
4020                      12.7102                      13.4199
4030                      12.342                      13.4228
4040                      12.8684                      13.4257
4050                      12.3737                      13.4287
4060                      12.0747                      13.4316
4070                      12.4149                      13.4345
4080                      33.683                      13.4374
4090                      17.1366                      13.4403
4100                      13.4273                      13.4432
4110                      12.4855                      13.446
4120                      12.4971                      13.4489
4130                      12.4994                      13.4518
4140                      12.4999                      13.4547
4150                      11.7                      13.4576
4160                      11.94                      13.4604
4170                      12.188                      13.4633
4180                      12.4376                      13.4661
4190                      13.6875                      13.469
4200                      12.7375                      13.4718
4210                      12.3475                      13.4747
4220                      12.2695                      13.4775
4230                      12.0539                      13.4803
4240                      12.2108                      13.4832
4250                      12.2422                      13.486
4260                      12.4484                      13.4888
4270                      12.2897                      13.4916
4280                      12.2579                      13.4944
4290                      12.2516                      13.4972
4300                      12.4503                      13.5
4310                      12.2901                      13.5028
4320                      11.858                      13.5056
4330                      12.3716                      13.5084
4340                      12.4743                      13.5112
4350                      12.0949                      13.514
4360                      12.419                      13.5168
4370                      12.0838                      13.5195
4380                      12.4168                      13.5223
4390                      12.2834                      13.5251
4400                      13.0567                      13.5278
4410                      13.0113                      13.5306
4420                      12.4023                      13.5333
4430                      12.4805                      13.5361
4440                      12.8961                      13.5388
4450                      12.3792                      13.5415
4460                      12.2758                      13.5443
4470                      12.6552                      13.547
4480                      12.331                      13.5497
4490                      12.6662                      13.5524
4500                      12.7332                      13.5551
4510                      12.5466                      13.5579
4520                      12.5093                      13.5606
4530                      12.5019                      13.5633
4540                      12.3004                      13.5659
4550                      12.6601                      13.5686
4560                      12.532                      13.5713
4570                      12.3064                      13.574
4580                      24.6613                      13.5767
4590                      19.1323                      13.5794
4600                      15.6265                      13.582
4610                      13.5253                      13.5847
4620                      12.9051                      13.5873
4630                      12.981                      13.59
4640                      12.9962                      13.5926
4650                      13.7992                      13.5953
4660                      13.5598                      13.5979
4670                      12.912                      13.6006
4680                      12.5824                      13.6032
4690                      12.7165                      13.6058
4700                      12.5433                      13.6084
4710                      12.5087                      13.6111
4720                      12.7017                      13.6137
4730                      12.5403                      13.6163
4740                      12.7081                      13.6189
4750                      12.9416                      13.6215
4760                      12.5883                      13.6241
4770                      12.3177                      13.6267
4780                      12.4635                      13.6293
4790                      12.6927                      13.6319
4800                      12.1385                      13.6344
4810                      12.4277                      13.637
4820                      12.0855                      13.6396
4830                      11.6171                      13.6421
4840                      11.9234                      13.6447
4850                      11.9847                      13.6472
4860                      11.7969                      13.6498
4870                      11.7594                      13.6523
4880                      11.9519                      13.6549
4890                      11.7904                      13.6574
4900                      11.9581                      13.66
4910                      11.7916                      13.6625
4920                      12.1583                      13.665
4930                      12.0317                      13.6675
4940                      12.2063                      13.67
4950                      12.0413                      13.6726
4960                      12.0083                      13.6751
4970                      13.6017                      13.6776
4980                      12.7203                      13.6801
4990                      12.5441                      13.6826
5000                      12.5088                      13.685
5010                      12.3018                      13.6875
5020                      12.2604                      13.69
5030                      12.2521                      13.6925
5040                      12.6504                      13.695
5050                      12.5301                      13.6974
5060                      12.306                      13.6999
5070                      12.2612                      13.7023
5080                      12.2522                      13.7048
5090                      12.4504                      13.7072
5100                      12.0901                      13.7097
5110                      12.218                      13.7121
5120                      12.4436                      13.7146
5130                      12.2887                      13.717
5140                      15.6577                      13.7194
5150                      93.3315                      13.7218
5160                      33.6663                      13.7242
5170                      21.5333                      13.7267
5180                      19.3067                      13.7291
5190                      18.4613                      13.7315
5200                      18.8923                      13.7339
5210                      15.5785                      13.7363
5220                      13.1157                      13.7387
5230                      12.4231                      13.741
5240                      12.0846                      13.7434
5250                      12.0169                      13.7458
5260                      12.2034                      13.7482
5270                      16.0407                      13.7505
5280                      13.8081                      13.7529
5290                      13.1616                      13.7553
5300                      13.2323                      13.7576
5310                      13.2465                      13.76
5320                      13.4493                      13.7623
5330                      13.0899                      13.7646
5340                      13.818                      13.767
5350                      13.5636                      13.7693
5360                      13.5127                      13.7716
5370                      12.9025                      13.774
5380                      12.7805                      13.7763
5390                      12.5561                      13.7786
5400                      13.3112                      13.7809
5410                      13.0622                      13.7832
5420                      13.4124                      13.7855
5430                      12.6825                      13.7878
5440                      12.9365                      13.7901
5450                      12.9873                      13.7924
5460                      13.1975                      13.7947
5470                      13.0395                      13.7969
5480                      12.6079                      13.7992
5490                      12.7216                      13.8015
5500                      12.7443                      13.8037
5510                      12.5489                      13.806
5520                      12.7098                      13.8083
5530                      12.742                      13.8105
5540                      12.7484                      13.8128
5550                      12.5497                      13.815
5560                      12.3099                      13.8172
5570                      12.662                      13.8195
5580                      12.9324                      13.8217
5590                      12.5865                      13.8239
5600                      12.5173                      13.8261
5610                      12.7035                      13.8284
5620                      13.3407                      13.8306
5630                      12.8681                      13.8328
5640                      12.7736                      13.835
5650                      12.5547                      13.8372
5660                      12.9109                      13.8394
5670                      12.7822                      13.8416
5680                      12.5564                      13.8437
5690                      12.5113                      13.8459
5700                      12.5023                      13.8481
5710                      12.5005                      13.8503
5720                      12.5001                      13.8524
5730                      12.7                      13.8546
5740                      12.74                      13.8567
5750                      12.548                      13.8589
5760                      12.5096                      13.861
5770                      12.5019                      13.8632
5780                      12.9004                      13.8653
5790                      17.5801                      13.8675
5800                      13.516                      13.8696
5810                      13.1032                      13.8717
5820                      12.8206                      13.8738
5830                      12.7641                      13.876
5840                      12.7528                      13.8781
5850                      12.9506                      13.8802
5860                      12.1901                      13.8823
5870                      12.438                      13.8844
